,A counts,B counts,Coincidence counts
HH,41051,49993,62
HV,41616,34993,7013
HD,41790,43702,3712
HA,41622,43353,3447
HR,41323,43974,4011
HL,41929,43942,3435
VH,61620,49208,6848
VV,61844,35271,69
VD,61401,43430,3556
VA,61773,43208,3416
VR,61422,43830,3521
VL,61483,42859,3406
DH,53611,48893,3564
DV,53506,34904,3793
DD,53790,43453,7352
DA,53472,42902,285
DR,53135,43479,3524
DL,53016,42958,3921
AH,53515,48483,3664
AV,53772,35307,3378
AD,53273,43270,262
AA,53107,42887,7072
AR,52999,43306,3954
AL,53313,43066,2900
RH,53294,48520,3568
RV,53276,35327,3586
RD,53605,43472,3873
RA,52752,42677,3865
RR,53703,43911,7625
RL,53141,43432,266
LH,53144,48168,3476
LV,53212,35637,3757
LD,53593,43403,3573
LA,53346,42649,3436
LR,53510,43582,294
LL,53559,43111,6931
