,position,A channel counts,B channel counts,coincidence counts
0,-0.0009500000000000029,14011,13926,691.902441407
1,-0.0009148148148148162,13926,14101,796.901814737
2,-0.000879629629629633,13871,13991,735.9029654195
3,-0.0008444444444444463,14000,13901,706.902693
4,-0.000809259259259263,14200,14055,798.9002095
5,-0.0007740740740740763,14246,14092,739.899622684
6,-0.0007388888888888931,14377,13710,783.901445665
7,-0.0007037037037037064,14066,14200,721.9001314
8,-0.0006685185185185231,14053,14107,722.9008771645
9,-0.0006333333333333364,14228,14014,782.900304404
10,-0.0005981481481481497,13823,14050,762.902893425
11,-0.0005629629629629665,14100,14242,754.8995939
12,-0.0005277777777777798,14139,13888,748.901818784
13,-0.0004925925925925966,14099,13953,653.9016383265
14,-0.00045740740740740984,14267,14207,650.8986543655
15,-0.0004222222222222266,14056,14017,645.901488524
16,-0.0003870370370370399,14342,13995,617.899641855
17,-0.00035185185185185666,14269,13956,561.900430918
18,-0.00031666666666666995,13942,13859,523.903388911
19,-0.00028148148148148325,13693,13982,461.904272237
20,-0.0002462962962963,13795,13843,442.9045179075
21,-0.0002111111111111133,13883,14018,392.902694053
22,-0.00017592592592593007,14154,14201,371.899499523
23,-0.00014074074074074336,14020,13911,300.90248389
24,-0.00010555555555556012,13642,13822,252.905720138
25,-7.037037037037341e-05,13988,13733,181.903951398
26,-3.5185185185190176e-05,13582,13986,123.905021074
27,-3.469446951953614e-18,13771,13728,97.905475856
28,3.518518518518324e-05,13946,13817,118.903654059
29,7.037037037036648e-05,13918,13815,138.903861415
30,0.00010555555555555318,13760,13974,164.90385888
31,0.00014074074074073642,13965,13755,219.9039557125
32,0.00017592592592592313,14045,13972,236.90188163
33,0.00021111111111110636,14000,13934,306.902462
34,0.00024629629629629307,13927,13743,368.9043006195
35,0.0002814814814814763,14097,13953,360.9016522795
36,0.000316666666666663,14220,13880,417.9013132
37,0.0003518518518518497,14135,13860,481.90204445
38,0.00038703703703703296,13950,14274,555.90043885
39,0.00042222222222221967,13948,14068,566.901889768
40,0.0004574074074074029,14190,14077,697.900123685
41,0.0004925925925925896,14253,14174,702.898988989
42,0.0005277777777777728,14179,14200,724.8993291
43,0.0005629629629629596,14270,14240,771.8983976
44,0.0005981481481481428,14369,14386,766.896643783
45,0.0006333333333333295,14288,14163,741.898819528
46,0.0006685185185185162,13917,14124,771.901718146
47,0.0007037037037036994,14313,14062,807.899365297
48,0.0007388888888888862,14155,14285,755.8988979125
49,0.0007740740740740694,14167,14336,740.898450944
50,0.0008092592592592561,14020,14125,764.90098375
51,0.0008444444444444393,14284,14212,711.898497896
52,0.000879629629629626,14120,14195,786.8997833
53,0.0009148148148148093,14297,14430,802.896847145
54,0.000949999999999996,14054,14265,789.899759845
